gene	gene_eid	gene_chr	gene_start	gene_end	gene_biotype	driver	driver_eid	bac_clone	bac_chr	bac_start	bac_end	bac_size_kb	gene_distance_kb	gene_in_bac_pct	status	evidence_level	dataset	n_samples	r	percentile	mean_r	cis_top10_p	cis_top50_p	cis_top100_p	evidence_short	pmid
Lamr1-ps1	ENSMUSG00000081229	2	131746006	131746879	processed_pseudogene	Prnp	ENSMUSG00000079037	MoPrP.Xho (SalI 31kb)	2	131751848	131780349	29	0.2	100	confirmed	L1	4 datasets (M83+5xFAD+THY-Tau22+Tg2576)	10	0.905	99.5	0.0					4/4 PrP+ + TLA 4/4 + SalI mechanism; cross-validated
Arsi	ENSMUSG00000036412	18	61044852	61051633	protein_coding	Camk2a	ENSMUSG00000024617	CaMKII-tTA (8.5kb)	18	61058690	61121224	63	-7.0	100	confirmed	L1	3 datasets	9	0.835	99.8	-0.133		3 datasets FC=1.8-7×; reads concentrated in captured exon		3 datasets FC=1.8-7x; reads concentrated in captured exon; r=0.835 = transgene-load readout (Prnp co-artifact) in GSE243650 fulldepth, pct=99.8; endogenous Camk2a r=-0.18/-0.68 (excludes endogenous co-expression); see Task12/data/arsi_driver_r.tsv	
Mhrt	ENSMUSG00000097652	14	55205795	55229058	lncRNA	Myh6	ENSMUSG00000040752	αMHC U71441 (5.4kb)	14	55179378	55204384	25	0.1	100	confirmed	L1	2 datasets		0.885	99.0				U71441 exon-level; Mhrt-Myh6 r=0.991		
SOD1-DT	ENSG00000234509	-	-	-	lncRNA(human)	hSOD1	-	hSOD1 BamHI (12.5kb)	-	-	-	13	-	100	confirmed	L1	GSE281064	6	0.99	100.0	0.05				WT=0 Tg=170 reads/kb; cross-species	
Slc41a3	ENSMUSG00000030089	6	90581707	90623394	protein_coding	Aldh1l1	ENSMUSG00000030088	RP23-7M9 (~293kb)	6	90363409	90677185	314	-1.8	100	confirmed	L2	GSE111148	8	0.877	99.2	-0.007				FACS Cre+ vs Cre- astrocytes; clean background	
Auh	ENSMUSG00000021460	13	52989155	53083717	protein_coding	Nfil3	ENSMUSG00000056749	RP23-227M5 (~214kb)	13	53021245	53235109	214	-91.7	66	confirmed	L2	GSE130842	56	0.965	99.99	0.048	6.8e-06	2.9e-05	7.3e-04	rank 4/34696; cis Top-10 fold 495×; 3'-truncated on BAC	
Gm33424	ENSMUSG00000113101	13	53139967	53190603	lncRNA	Nfil3	ENSMUSG00000056749	RP23-227M5 (~214kb)	13	53021245	53235109	214	37.1	100	confirmed	L2	GSE130842	56	0.877	99.0	0.048	6.8e-06	2.9e-05	7.3e-04	rank 355/34696; fully in BAC; same locus as Auh	
Polr2f	ENSMUSG00000033020	15	79025209	79035974	protein_coding	Sox10	ENSMUSG00000033006	RP24-85O14 (~210kb; note: UCSC span conflicts ±, coords are ±100kb est.)	15	78939108	79149440	210	-13.7	100	confirmed	L2	GSE211929	10	0.896	99.96	0.068	0.031	5.2e-04	3.9e-03	rank 11/26488; cis Top-50 fold 19×; Sox10-Venus KI	
Them4	ENSMUSG00000028145	3	94217396	94239847	protein_coding	Rorc	ENSMUSG00000028150	RP23-? (~225kb)	3	94180101	94405583	225	-64.2	100	confirmed	L2	GSE153607	14	0.941	99.5	-0.014	0.00038	3.8e-04		4-hitchhiker BAC record; rank top of 4	
C2cd4d	ENSMUSG00000091648	3	94269745	94271873	protein_coding	Rorc	ENSMUSG00000028150	RP23-? (~225kb)	3	94180101	94405583	225	-22.0	100	confirmed	L2	GSE153607	14	0.968	99.9	-0.014	0.00038	3.8e-04		4-hitchhiker BAC record	
Lingo4	ENSMUSG00000044505	3	94305824	94311808	protein_coding	Rorc	ENSMUSG00000028150	RP23-? (~225kb)	3	94180101	94405583	225	16.0	100	confirmed	L2	GSE153607	14	0.968	99.9	-0.014	0.00038	3.8e-04		4-hitchhiker BAC record	
Tdrkh	ENSMUSG00000041912	3	94320580	94341975	protein_coding	Rorc	ENSMUSG00000028150	RP23-? (~225kb)	3	94180101	94405583	225	38.4	100	confirmed	L2	GSE153607	14	0.928	99.2	-0.014	0.00038	3.8e-04		4-hitchhiker BAC record	
Klf15	ENSMUSG00000030087	6	90439558	90452220	protein_coding	Aldh1l1	ENSMUSG00000030088	RP23-7M9 (~293kb)	6	90363409	90677185	314	-74.4	100	confirmed	L2	GSE158517	12	0.98	99.8	0.111	0.0004	4.0e-04		Aldh1l1 BAC double hitchhiker (with Slc41a3)	
Cerkl	ENSMUSG00000075256	2	79160887	79287129	protein_coding	Neurod1	ENSMUSG00000034701	per-allele: RZ24Gsat/CR99=RP24-151C22, D1BTahi=RP23-280C11, M1Fcal=BMQ-305H2, 1Able=unnamed	2	79182865	79387095	204	-61.0	100	confirmed	L2	GSE137572	8	0.128	99.2	0.022	0.0002	2.5e-03		cis-1Mb Top-10 p=1.99e-04 (GSE137572, Neurod1-cre x Rosa26-EYFP large-intestine EEC 10x pseudo-bulk, NOT cortical as earlier notes said); cross-validated GSE127845 (Sawicka 2019 cerebellar TRAP, RZ24Gsat line, p=4.3e-3 CANDIDATE). Clone-span audit 2026-08-17: all 3 identified Neurod1 BACs (RP24-151C22/RP23-280C11/BMQ-305H2) contain Cerkl promoter-proximal 50-64% (TSS side, minus strand) and exclude Itprid2 (its cis correlation = endogenous Neurod1 biology). 1Able line BAC unnamed in MGI note.	
